item,week_ending,category,units_of_measure,beginning_units,unit_purchases_1,unit_purchases_2,unit_purchases_3,unit_purchases_4,total_purchased,on_hand_counts,ending_units,unit_cost,ending_value_usd,usage_units,Unnamed: 13
MUSTARD WHL GRAIN ,01/02/2018,Food 4312,32 oz jar,11.25,0.0,0,0,0,0.0,0,10.25,5.84,59.84,1.0000,59.8436
Soy Sauce,01/02/2018,Food 4312,gal soy,1.30,0.0,0,0,0,0.0,0,1.30,9.34,12.14,0.0000,12.1421
Tuna Chunk - pouch,01/02/2018,Food 4312,Pouch tuna (48oz),5.50,6.0,0,0,0,6.0,0,7.50,8.76,65.69,4.0000,65.6873
Pam Spray,01/02/2018,Food 4312,ea,3.50,0.0,0,0,0,0.0,0,2.00,2.60,5.20,1.5000,5.2034
Oregano,01/02/2018,Food 4312,cont oregano,0.40,0.0,0,0,0,0.0,0,0.30,25.10,7.53,0.1000,7.5286
Basil,01/02/2018,Food 4312,cont basil,0.40,0.0,0,0,0,0.0,0,0.30,9.41,2.82,0.1000,2.8235
Sugar,01/02/2018,Food 4312,lb,15.00,0.0,0,0,0,0.0,0,15.00,0.58,8.76,0.0000,8.7555
Mayo Packets,01/02/2018,Food 4312,Box 204,1.50,1.0,0,0,0,1.0,0,1.75,17.79,31.13,0.7500,31.1325
Mustard Packets,01/02/2018,Food 4312,Box 500,1.50,1.0,0,0,0,1.0,0,2.50,5.88,14.70,0.0000,14.7
Sweet n Low Packets,01/02/2018,Food 4312,Case  3000,0.00,0.0,0,0,0,0.0,0,0.00,18.45,0.00,0.0000,0.0
Pickles,01/02/2018,Sides 4313,ea,120.00,72.0,0,0,0,72.0,0,68.00,0.35,23.55,124.0000,23.5484
Chip JJ Reg ,01/02/2018,Sides 4313,ea,184.00,120.0,0,0,0,120.0,0,169.00,0.33,56.53,135.0000,56.5305
Chip JJ BBQ ,01/02/2018,Sides 4313,ea,274.00,180.0,0,0,0,180.0,0,235.00,0.33,78.61,219.0000,78.6075
Chip JJ Jalapeno ,01/02/2018,Sides 4313,ea,197.00,180.0,0,0,0,180.0,0,188.00,0.33,62.89,189.0000,62.886
Chip JJ S&V ,01/02/2018,Sides 4313,ea,180.00,180.0,0,0,0,180.0,0,214.00,0.33,71.58,146.0000,71.583
Chip JJ Skinny ,01/02/2018,Sides 4313,ea,156.00,0.0,0,0,0,0.0,0,100.00,0.40,39.90,56.0000,39.9
Cookie Oatmeal Raisin,01/02/2018,Sides 4313,ea,88.00,0.0,0,0,0,0.0,0,70.00,0.46,32.44,18.0000,32.438
Cookie JJ Triple Choc Chip,01/02/2018,Sides 4313,ea,109.00,168.0,0,0,0,168.0,0,161.00,0.56,90.74,116.0000,90.7396
Sysco Cup Foam Tall 12 oz,01/02/2018,Paper 4314,Case 1000,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Cup Plas 14oz Trans Soft - Paper Cat,01/02/2018,Paper 4314,ea,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
CUP PLAS TRANS 12 OZ - Paper Cat,01/02/2018,Paper 4314,ea,0.00,0.0,0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
Cup Plas Trans Soft 16 OZ,01/02/2018,Paper 4314,50 CT,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Napkins,01/02/2018,Paper 4314,Pack 567,0.00,0.0,0,0,0,0.0,0,0.00,3.05,0.00,0.0000,0.0
Napkins - Case 24 / Pack 284,01/02/2018,Paper 4314,Pack 284,26.00,0.0,0,0,0,0.0,0,21.00,1.43,29.98,5.0000,29.9775
Cup 22oz JJ,01/02/2018,Paper 4314,ea,"1,396.00",0.0,0,0,0,0.0,0,989.00,0.04,36.10,407.0000,36.0985
Lid 22oz JJ,01/02/2018,Paper 4314,ea,"1,594.00",0.0,0,0,0,0.0,0,"1,171.00",0.01,13.12,423.0000,13.1152
Cup 30oz JJ,01/02/2018,Paper 4314,ea,772.00,750.0,0,0,0,750.0,0,"1,309.00",0.06,79.59,213.0000,79.5872
Lid 30oz JJ,01/02/2018,Paper 4314,ea,"1,588.00",0.0,0,0,0,0.0,0,"1,455.00",0.02,27.65,133.0000,27.645
Bags 8# JJ,01/02/2018,Paper 4314,Box 1000,1.00,0.0,0,0,0,0.0,0,0.75,35.00,26.25,0.2500,26.25
Wrap Sandwich,01/02/2018,Paper 4314,Box 1000,3.40,0.0,0,0,0,0.0,0,2.00,19.57,39.14,1.4000,39.14
8X10 Port Pap.,01/02/2018,Paper 4314,Box 500,10.00,12.0,0,0,0,12.0,0,15.00,2.61,39.09,7.0000,39.087
Straws,01/02/2018,Paper 4314,Box 300,27.00,0.0,0,0,0,0.0,0,26.00,1.63,42.35,1.0000,42.3509
Pan Liners,01/02/2018,Paper 4314,Box 1000,0.50,0.0,0,0,0,0.0,0,0.50,29.21,14.61,0.0000,14.6052
Mylar,01/02/2018,Paper 4314,roll 5280,1.50,0.0,0,0,0,0.0,0,0.50,49.15,24.57,1.0000,24.5734
Cucumber,01/02/2018,Produce 4315,ea,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Iceburg Head ,01/02/2018,Produce 4315,24 Count,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Lettuce,01/02/2018,Produce 4315,12 Packs,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Roma Tomatoes,01/02/2018,Produce 4315,lb,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Yellow Onions,01/02/2018,Produce 4315,lb,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Lettuce,01/02/2018,Produce 4315,Head Let,51.00,144.0,0,0,0,144.0,0,89.00,0.84,74.95,106.0000,74.9469
Tomatoes,01/02/2018,Produce 4315,lb,112.50,100.0,0,0,0,100.0,0,75.00,1.30,97.51,137.5000,97.50749999999998
Onions,01/02/2018,Produce 4315,lb,37.50,50.0,0,0,0,50.0,0,50.00,0.40,19.95,37.5000,19.95
Sprouts,01/02/2018,Produce 4315,lb,3.00,4.0,0,0,0,4.0,0,3.75,6.49,24.34,3.2500,24.3439
Celery,01/02/2018,Produce 4315,stalk,5.30,6.0,0,0,0,6.0,0,6.00,0.83,5.00,5.3000,4.9998
Cucumbers,01/02/2018,Produce 4315,ea,42.00,25.0,0,0,0,25.0,0,24.00,0.65,15.54,43.0000,15.544800000000002
Syrup Coke,01/02/2018,Beverage 4316,gal,8.00,0.0,0,0,0,0.0,0,4.00,14.79,59.16,4.0000,59.16
Syrup Diet Coke,01/02/2018,Beverage 4316,gal,8.00,0.0,0,0,0,0.0,0,4.50,14.79,66.56,3.5000,66.555
Syrup Sprite,01/02/2018,Beverage 4316,gal,6.50,0.0,0,0,0,0.0,0,4.50,14.79,66.56,2.0000,66.555
Syrup Lemonade Light,01/02/2018,Beverage 4316,gal,3.00,0.0,0,0,0,0.0,0,2.00,16.04,32.08,1.0000,32.08
Syrup Mello Yellow,01/02/2018,Beverage 4316,gal,1.50,2.5,0,0,0,2.5,0,3.50,15.42,53.97,0.5000,53.97
Syrup Dr. Pepper,01/02/2018,Beverage 4316,gal,8.50,0.0,0,0,0,0.0,0,5.00,14.49,72.45,3.5000,72.45
Syrup Diet Dr Pepper,01/02/2018,Beverage 4316,gal,0.00,0.0,0,0,0,0.0,0,0.00,13.97,0.00,0.0000,0.0
Syrup Cherry Coke,01/02/2018,Beverage 4316,gal,4.00,5.0,0,0,0,5.0,0,5.50,14.79,81.35,3.5000,81.345
Syrup Powerade,01/02/2018,Beverage 4316,gal,3.00,0.0,0,0,0,0.0,0,2.00,15.42,30.84,1.0000,30.84
Tea Bag Brew Lipton,01/02/2018,Beverage 4316,ea,17.00,24.0,0,0,0,24.0,0,27.00,0.95,25.69,14.0000,25.6851
Water (bottle),01/02/2018,Beverage 4316,bottle,52.00,24.0,0,0,0,24.0,0,59.00,0.28,16.47,17.0000,16.4728
Box - Mini Jimmy 12 CT Sandwich,01/02/2018,Catering 4320,each,47.00,0.0,0,0,0,0.0,0,45.00,0.91,40.73,2.0000,40.734
Box - Mini Jimmy 24 CT Sandwich,01/02/2018,Catering 4320,each,20.00,0.0,0,0,0,0.0,0,19.00,1.57,29.87,1.0000,29.866100000000003
Box w/window - Jimmy 6 pk Cookie,01/02/2018,Catering 4320,each,100.00,0.0,0,0,0,0.0,0,100.00,0.25,25.31,0.0000,25.31
Paper Bag - Mini Jimmy Sandwich,01/02/2018,Catering 4320,Case 500,1.50,0.0,0,0,0,0.0,0,1.10,15.60,17.16,0.4000,17.16
Pickle Container - clear plastic w/lid & label,01/02/2018,Catering 4320,each,0.00,0.0,0,0,0,0.0,0,0.00,0.19,0.00,0.0000,0.0
Plastic Knives,01/02/2018,Catering 4320,Box 1000,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
JJ Lunch Box,01/02/2018,Catering 4320,ea,173.00,0.0,0,0,0,0.0,0,165.00,0.30,49.60,8.0000,49.599
"Tray Cater Cmbo 12"" w / dome lid",01/02/2018,Catering 4320,each,46.00,0.0,0,0,0,0.0,0,45.00,0.91,41.11,1.0000,41.1075
"Tray Cater Cmbo 16"" w / dome lid",01/02/2018,Catering 4320,each,35.00,0.0,0,0,0,0.0,0,34.00,1.71,58.19,1.0000,58.191
Party Tray Bags,01/02/2018,Catering 4320,ea,0.00,0.0,0,0,0,0.0,0,0.00,0.79,0.00,0.0000,0.0
French Bread 32 ct,01/09/2018,Bread 4311,ea,577.00,864.0,0,0,0,864.0,0,610.00,0.44,269.19,831.0000,269.193
Wheat,01/09/2018,Bread 4311,ea,36.00,64.0,0,0,0,64.0,0,46.00,1.45,66.56,54.0000,66.5574
Equal Sugar Substitute,01/09/2018,Food 4312,Case 2000,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Pepper Jalapeno Slices,01/09/2018,Food 4312,gal,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Avo Fresco,01/09/2018,Food 4312,Case,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Capicola,01/09/2018,Food 4312,lb,45.87,0.0,0,0,0,0.0,0,21.25,3.12,66.26,24.6200,66.2639
Salami,01/09/2018,Food 4312,lb,56.62,0.0,0,0,0,0.0,0,26.25,3.02,79.35,30.3700,79.3459
Ham,01/09/2018,Food 4312,lb,80.50,87.8,0,0,0,87.8,0,73.25,2.12,155.44,95.0500,155.4365
Turkey,01/09/2018,Food 4312,lb,129.00,137.15,0,0,0,137.15,0,147.00,2.81,412.81,119.1500,412.8054
Beef,01/09/2018,Food 4312,lb,81.25,33.15,0,0,0,33.15,0,50.00,3.99,199.35,64.4000,199.35
Bacon,01/09/2018,Food 4312,ea,0.00,0.0,0,0,0,0.0,0,0.00,0.20,0.00,0.0000,0.0
BACON - SLI APPLWD SMKD CKD,01/09/2018,Food 4312,ea,"1,172.00",600.0,0,0,0,600.0,0,"1,092.00",0.20,220.04,680.0000,220.038
Cheese,01/09/2018,Food 4312,lb,98.75,105.05,0,0,0,105.05,0,98.25,2.29,224.98,105.5500,224.9827
Mayonnaise,01/09/2018,Food 4312,gal mayo,45.00,12.0,0,0,0,12.0,0,47.00,8.16,383.51,10.0000,383.5106
Oil,01/09/2018,Food 4312,gal oil,14.00,0.0,0,0,0,0.0,0,13.00,9.92,128.97,1.0000,128.9691
Vinegar,01/09/2018,Food 4312,gal vinegar,10.50,0.0,0,0,0,0.0,0,9.50,3.89,36.95,1.0000,36.9503
Avocado,01/09/2018,Food 4312,avo can,13.00,12.0,0,0,0,12.0,0,15.00,3.37,50.59,10.0000,50.5935
Peppers Cherry,01/09/2018,Food 4312,Gal Peppers,23.00,0.0,0,0,0,0.0,0,20.00,7.01,140.10,3.0000,140.1
Mustard Dijon,01/09/2018,Food 4312,jar dijon,7.50,0.0,0,0,0,0.0,0,6.50,5.24,34.05,1.0000,34.0509
MUSTARD WHL GRAIN ,01/09/2018,Food 4312,32 oz jar,10.25,0.0,0,0,0,0.0,0,9.50,5.84,55.46,0.7500,55.4648
Soy Sauce,01/09/2018,Food 4312,gal soy,1.30,0.0,0,0,0,0.0,0,1.10,9.34,10.27,0.2000,10.2741
Tuna Chunk - pouch,01/09/2018,Food 4312,Pouch tuna (48oz),7.50,6.0,0,0,0,6.0,0,7.00,8.76,61.31,6.5000,61.3081
Pam Spray,01/09/2018,Food 4312,ea,2.00,0.0,0,0,0,0.0,0,1.50,2.60,3.90,0.5000,3.9025999999999996
Oregano,01/09/2018,Food 4312,cont oregano,0.30,0.0,0,0,0,0.0,0,0.25,25.10,6.27,0.0500,6.2738
Basil,01/09/2018,Food 4312,cont basil,0.30,0.0,0,0,0,0.0,0,0.25,9.41,2.35,0.0500,2.353
Sugar,01/09/2018,Food 4312,lb,15.00,0.0,0,0,0,0.0,0,15.00,0.58,8.76,0.0000,8.7555
Mayo Packets,01/09/2018,Food 4312,Box 204,1.75,1.0,0,0,0,1.0,0,2.00,17.79,35.58,0.7500,35.58
Mustard Packets,01/09/2018,Food 4312,Box 500,2.50,0.0,0,0,0,0.0,0,2.00,5.88,11.76,0.5000,11.76
Sweet n Low Packets,01/09/2018,Food 4312,Case  3000,0.00,0.0,0,0,0,0.0,0,0.00,18.45,0.00,0.0000,0.0
Pickles,01/09/2018,Sides 4313,ea,68.00,144.0,0,0,0,144.0,0,85.00,0.35,29.44,127.0000,29.4355
Chip JJ Reg ,01/09/2018,Sides 4313,ea,169.00,120.0,0,0,0,120.0,0,128.00,0.34,43.11,161.0000,43.1104
Chip JJ BBQ ,01/09/2018,Sides 4313,ea,235.00,240.0,0,0,0,240.0,0,239.00,0.34,80.28,236.0000,80.2801
Chip JJ Jalapeno ,01/09/2018,Sides 4313,ea,188.00,180.0,0,0,0,180.0,0,167.00,0.34,56.11,201.0000,56.112
Chip JJ S&V ,01/09/2018,Sides 4313,ea,214.00,180.0,0,0,0,180.0,0,234.00,0.34,78.55,160.0000,78.5538
Chip JJ Skinny ,01/09/2018,Sides 4313,ea,100.00,60.0,0,0,0,60.0,0,88.00,0.40,35.07,72.0000,35.068
Cookie Oatmeal Raisin,01/09/2018,Sides 4313,ea,70.00,0.0,0,0,0,0.0,0,27.00,0.46,12.51,43.0000,12.5118
Cookie JJ Triple Choc Chip,01/09/2018,Sides 4313,ea,161.00,56.0,0,0,0,56.0,0,112.00,0.56,63.12,105.0000,63.1232
Sysco Cup Foam Tall 12 oz,01/09/2018,Paper 4314,Case 1000,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Cup Plas 14oz Trans Soft - Paper Cat,01/09/2018,Paper 4314,ea,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
CUP PLAS TRANS 12 OZ - Paper Cat,01/09/2018,Paper 4314,ea,0.00,0.0,0,0,0,0.0,0,0.00,0.00,0.00,0.0000,0.0
Cup Plas Trans Soft 12 OZ,01/09/2018,Paper 4314,50 CT,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Napkins,01/09/2018,Paper 4314,Pack 567,0.00,0.0,0,0,0,0.0,0,0.00,3.05,0.00,0.0000,0.0
Napkins - Case 24 / Pack 284,01/09/2018,Paper 4314,Pack 284,21.00,0.0,0,0,0,0.0,0,13.00,1.43,18.56,8.0000,18.5575
Cup 22oz JJ,01/09/2018,Paper 4314,ea,989.00,1000.0,0,0,0,1000.0,0,"1,468.00",0.04,53.73,521.0000,53.7288
Lid 22oz JJ,01/09/2018,Paper 4314,ea,"1,171.00",0.0,0,0,0,0.0,0,576.00,0.01,6.45,595.0000,6.4512
Cup 30oz JJ,01/09/2018,Paper 4314,ea,"1,309.00",0.0,0,0,0,0.0,0,"1,073.00",0.06,65.24,236.0000,65.2384
Lid 30oz JJ,01/09/2018,Paper 4314,ea,"1,455.00",0.0,0,0,0,0.0,0,"1,264.00",0.02,24.02,191.0000,24.016
Bags 8# JJ,01/09/2018,Paper 4314,Box 1000,0.75,1.0,0,0,0,1.0,0,1.00,30.03,30.03,0.7500,30.03
Wrap Sandwich,01/09/2018,Paper 4314,Box 1000,2.00,3.0,0,0,0,3.0,0,2.75,18.77,51.61,2.2500,51.6139
8X10 Port Pap.,01/09/2018,Paper 4314,Box 500,15.00,0.0,0,0,0,0.0,0,8.00,2.61,20.85,7.0000,20.8464
Straws,01/09/2018,Paper 4314,Box 300,26.00,0.0,0,0,0,0.0,0,22.00,1.63,35.84,4.0000,35.8354
Pan Liners,01/09/2018,Paper 4314,Box 1000,0.50,0.0,0,0,0,0.0,0,0.50,29.21,14.61,0.0000,14.6052
Mylar,01/09/2018,Paper 4314,roll 5280,0.50,1.0,0,0,0,1.0,0,1.30,49.35,64.15,0.2000,64.1536
Cucumber,01/09/2018,Produce 4315,ea,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Iceburg Head ,01/09/2018,Produce 4315,24 Count,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Lettuce,01/09/2018,Produce 4315,12 Packs,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Roma Tomatoes,01/09/2018,Produce 4315,lb,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Yellow Onions,01/09/2018,Produce 4315,lb,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Lettuce,01/09/2018,Produce 4315,Head Let,89.00,192.0,0,0,0,192.0,0,111.00,0.86,94.98,170.0000,94.9827
Tomatoes,01/09/2018,Produce 4315,lb,75.00,200.0,0,0,0,200.0,0,112.50,1.00,112.57,162.5000,112.5675
Onions,01/09/2018,Produce 4315,lb,50.00,50.0,0,0,0,50.0,0,50.00,0.40,19.98,50.0000,19.98
Sprouts,01/09/2018,Produce 4315,lb,3.75,4.0,0,0,0,4.0,0,3.75,6.12,22.96,4.0000,22.9568
Celery,01/09/2018,Produce 4315,stalk,6.00,0.0,0,0,0,0.0,0,6.00,0.83,5.00,0.0000,4.9998
Cucumbers,01/09/2018,Produce 4315,ea,24.00,25.0,0,0,0,25.0,0,24.00,0.74,17.75,25.0000,17.7504
Syrup Coke,01/09/2018,Beverage 4316,gal,4.00,5.0,0,0,0,5.0,0,7.00,15.37,107.59,2.0000,107.59
Syrup Diet Coke,01/09/2018,Beverage 4316,gal,4.50,5.0,0,0,0,5.0,0,7.50,15.12,113.43,2.0000,113.4308
Syrup Sprite,01/09/2018,Beverage 4316,gal,4.50,0.0,0,0,0,0.0,0,3.00,14.79,44.37,1.5000,44.37
Syrup Lemonade Light,01/09/2018,Beverage 4316,gal,2.00,2.5,0,0,0,2.5,0,4.00,16.38,65.54,0.5000,65.5376
Syrup Mello Yellow,01/09/2018,Beverage 4316,gal,3.50,0.0,0,0,0,0.0,0,2.00,15.42,30.84,1.5000,30.84
Syrup Dr. Pepper,01/09/2018,Beverage 4316,gal,5.00,5.0,0,0,0,5.0,0,7.00,14.81,103.67,3.0000,103.6651
Syrup Diet Dr Pepper,01/09/2018,Beverage 4316,gal,0.00,0.0,0,0,0,0.0,0,0.00,13.97,0.00,0.0000,0.0
Syrup Cherry Coke,01/09/2018,Beverage 4316,gal,5.50,0.0,0,0,0,0.0,0,5.00,14.79,73.95,0.5000,73.95
Syrup Powerade,01/09/2018,Beverage 4316,gal,2.00,2.5,0,0,0,2.5,0,4.00,15.76,63.03,0.5000,63.0252
Tea Bag Brew Lipton,01/09/2018,Beverage 4316,ea,27.00,0.0,0,0,0,0.0,0,9.00,0.95,8.56,18.0000,8.5617
Water (bottle),01/09/2018,Beverage 4316,bottle,59.00,24.0,0,0,0,24.0,0,51.00,0.28,14.24,32.0000,14.2392
Box - Mini Jimmy 12 CT Sandwich,01/09/2018,Catering 4320,each,45.00,0.0,0,0,0,0.0,0,45.00,0.91,40.73,0.0000,40.734
Box - Mini Jimmy 24 CT Sandwich,01/09/2018,Catering 4320,each,19.00,0.0,0,0,0,0.0,0,18.00,1.57,28.29,1.0000,28.2942
Box w/window - Jimmy 6 pk Cookie,01/09/2018,Catering 4320,each,100.00,0.0,0,0,0,0.0,0,0.00,0.25,0.00,100.0000,0.0
Paper Bag - Mini Jimmy Sandwich,01/09/2018,Catering 4320,Case 500,1.10,0.0,0,0,0,0.0,0,0.00,15.60,0.00,1.1000,0.0
Pickle Container - clear plastic w/lid & label,01/09/2018,Catering 4320,each,0.00,0.0,0,0,0,0.0,0,1.10,0.19,0.21,-1.1000,0.209
Plastic Knives,01/09/2018,Catering 4320,Box 1000,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
JJ Lunch Box,01/09/2018,Catering 4320,ea,165.00,0.0,0,0,0,0.0,0,132.00,0.30,39.68,33.0000,39.6792
"Tray Cater Cmbo 12"" w / dome lid",01/09/2018,Catering 4320,each,45.00,0.0,0,0,0,0.0,0,40.00,0.91,36.54,5.0000,36.54
"Tray Cater Cmbo 16"" w / dome lid",01/09/2018,Catering 4320,each,34.00,0.0,0,0,0,0.0,0,33.00,1.71,56.48,1.0000,56.4795
Party Tray Bags,01/09/2018,Catering 4320,ea,0.00,0.0,0,0,0,0.0,0,0.00,0.79,0.00,0.0000,0.0
French Bread 32 ct,01/16/2018,Bread 4311,ea,610.00,864.0,0,0,0,864.0,0,578.00,0.44,255.07,896.0000,255.0714
Wheat,01/16/2018,Bread 4311,ea,46.00,48.0,0,0,0,48.0,0,37.00,1.45,53.54,57.0000,53.5353
Equal Sugar Substitute,01/16/2018,Food 4312,Case 2000,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Pepper Jalapeno Slices,01/16/2018,Food 4312,gal,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Avo Fresco,01/16/2018,Food 4312,Case,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Capicola,01/16/2018,Food 4312,lb,21.25,40.35,0,0,0,40.35,0,31.50,3.04,95.62,30.1000,95.6183
Salami,01/16/2018,Food 4312,lb,26.25,35.25,0,0,0,35.25,0,36.50,3.01,109.83,25.0000,109.82850000000002
Ham,01/16/2018,Food 4312,lb,73.25,130.7,0,0,0,130.7,0,126.50,2.12,268.53,77.4500,268.5342
Turkey,01/16/2018,Food 4312,lb,147.00,116.0,0,0,0,116.0,0,121.25,2.81,340.62,141.7500,340.6155
Beef,01/16/2018,Food 4312,lb,50.00,63.75,0,0,0,63.75,0,43.00,4.05,174.29,70.7500,174.2919
Bacon,01/16/2018,Food 4312,ea,0.00,0.0,0,0,0,0.0,0,0.00,0.20,0.00,0.0000,0.0
BACON - SLI APPLWD SMKD CKD,01/16/2018,Food 4312,ea,"1,092.00",600.0,0,0,0,600.0,0,918.00,0.20,181.31,774.0000,181.305
Cheese,01/16/2018,Food 4312,lb,98.25,69.88,0,0,0,69.88,0,70.25,2.28,160.33,97.8800,160.3316
Mayonnaise,01/16/2018,Food 4312,gal mayo,47.00,8.0,0,0,0,8.0,0,45.00,8.16,367.19,10.0000,367.191
Oil,01/16/2018,Food 4312,gal oil,13.00,0.0,0,0,0,0.0,0,11.00,9.92,109.13,2.0000,109.1277
Vinegar,01/16/2018,Food 4312,gal vinegar,9.50,4.0,0,0,0,4.0,0,12.50,3.89,48.60,1.0000,48.6025
Avocado,01/16/2018,Food 4312,avo can,15.00,12.0,0,0,0,12.0,0,18.00,3.41,61.33,9.0000,61.3314
Peppers Cherry,01/16/2018,Food 4312,Gal Peppers,20.00,4.0,0,0,0,4.0,0,20.75,7.01,145.38,3.2500,145.3807
Mustard Dijon,01/16/2018,Food 4312,jar dijon,6.50,0.0,0,0,0,0.0,0,5.00,5.24,26.19,1.5000,26.192999999999998
MUSTARD WHL GRAIN ,01/16/2018,Food 4312,32 oz jar,9.50,0.0,0,0,0,0.0,0,9.00,5.84,52.55,0.5000,52.5456
Soy Sauce,01/16/2018,Food 4312,gal soy,1.10,0.0,0,0,0,0.0,0,1.00,9.34,9.34,0.1000,9.3401
Tuna Chunk - pouch,01/16/2018,Food 4312,Pouch tuna (48oz),7.00,0.0,0,0,0,0.0,0,3.00,8.76,26.27,4.0000,26.274900000000002
Pam Spray,01/16/2018,Food 4312,ea,1.50,0.0,0,0,0,0.0,0,1.00,2.60,2.60,0.5000,2.6017
Oregano,01/16/2018,Food 4312,cont oregano,0.25,0.0,0,0,0,0.0,0,0.10,25.09,2.51,0.1500,2.5095
Basil,01/16/2018,Food 4312,cont basil,0.25,0.0,0,0,0,0.0,0,0.10,9.41,0.94,0.1500,0.9411999999999999
Sugar,01/16/2018,Food 4312,lb,15.00,0.0,0,0,0,0.0,0,30.00,0.58,17.51,-15.0000,17.511
Mayo Packets,01/16/2018,Food 4312,Box 204,2.00,1.0,0,0,0,1.0,0,2.00,17.79,35.58,1.0000,35.58
Mustard Packets,01/16/2018,Food 4312,Box 500,2.00,1.0,0,0,0,1.0,0,2.50,5.88,14.70,0.5000,14.7
Sweet n Low Packets,01/16/2018,Food 4312,Case  3000,0.00,0.0,0,0,0,0.0,0,0.00,18.45,0.00,0.0000,0.0
Pickles,01/16/2018,Sides 4313,ea,85.00,144.0,0,0,0,144.0,0,91.00,0.35,31.51,138.0000,31.5133
Chip JJ Reg ,01/16/2018,Sides 4313,ea,128.00,180.0,0,0,0,180.0,0,134.00,0.34,45.13,174.0000,45.1312
